id     imdb_id   original_title                                                                                           genres
228205 tt2726560 The Longest Ride                                                                                         Romance|Drama
159824 tt2510894 Hotel Transylvania 2                                                                                     Animation|Comedy|Family
333348 tt2279339 Love the Coopers                                                                                         Family|Comedy
285783 tt3488710 The Walk                                                                                                 Adventure|Drama|Thriller
290764 tt2401097 Tracers                                                                                                  Action|Crime|Drama
296099 tt1524930 Vacation                                                                                                 Adventure|Comedy
243688 tt1029360 Poltergeist                                                                                              Horror|Thriller
287424 tt1881002 Maggie                                                                                                   Horror
301875 tt3289728 Equals                                                                                                   Drama|Romance|Science Fiction
181283 tt1014763 Child 44                                                                                                 Crime|Thriller
328425 tt4178092 The Gift                                                                                                 Thriller|Mystery
274167 tt1528854 Daddy's Home                                                                                             Comedy
370687 tt3608646 Mythica: The Necromancer                                                                                 Fantasy|Action|Adventure
307663 tt3480796 Vice                                                                                                     Thriller|Science Fiction|Action|Adventure
309809 tt1754656 The Little Prince                                                                                        Adventure|Animation|Fantasy
258509 tt2974918 Alvin and the Chipmunks: The Road Chip                                                                   Adventure|Animation|Comedy|Family
298382 tt2910904 The Dressmaker                                                                                           Drama
272693 tt1666801 The DUFF                                                                                                 Romance|Comedy
283445 tt2752772 Sinister 2                                                                                               Horror
256961 tt3450650 Paul Blart: Mall Cop 2                                                                                   Action|Adventure|Comedy|Family
326359 tt4007502 Frozen Fever                                                                                             Adventure|Animation|Family
254302 tt0462335 High-Rise                                                                                                Action|Drama|Science Fiction
241251 tt3181822 The Boy Next Door                                                                                        Thriller
292040 tt3321300 Spooks: The Greater Good                                                                                 Thriller|Action
188222 tt1674771 Entourage                                                                                                Comedy
252838 tt0884732 The Wedding Ringer                                                                                       Comedy
273477 tt1727776 Scouts Guide to the Zombie Apocalypse                                                                    Comedy|Horror
298312 tt3567288 The Visit                                                                                                Horror|Thriller
261023 tt1355683 Black Mass                                                                                               Crime|Drama
336004 tt3276924 Heist                                                                                                    Crime|Action|Thriller
287903 tt3850590 Krampus                                                                                                  Horror|Comedy|Fantasy
182560 tt2402101 Dark Places                                                                                              Drama|Mystery|Thriller
192141 tt1781922 No Escape                                                                                                Action|Thriller
308639 tt3850214 Dope                                                                                                     Crime|Drama|Comedy
261392 tt3316948 American Ultra                                                                                           Comedy|Action
304357 tt2404425 Woman in Gold                                                                                            Drama
297291 tt3086386 The Scorpion King: The Lost Throne                                                                       Action|Fantasy|Adventure
266294 tt1850457 Sisters                                                                                                  Comedy
227719 tt2436386 Project Almanac                                                                                          Science Fiction|Thriller
86828  tt1727770 Absolutely Anything                                                                                      Comedy|Science Fiction
287948 tt2938956 The Transporter Refueled                                                                                 Thriller|Action|Crime
201085 tt2554274 Crimson Peak                                                                                             Mystery|Thriller|Fantasy|Horror|Drama
277355 tt1945084 Everly                                                                                                   Thriller|Action
264999 tt2268016 Magic Mike XXL                                                                                           Comedy|Drama|Music
146301 tt2473510 Paranormal Activity: The Ghost Dimension                                                                 Horror|Thriller
223485 tt3205376 Slow West                                                                                                Romance|Thriller|Western
294016 tt3203606 Trumbo                                                                                                   Drama
290751 tt1741273 Secret in Their Eyes                                                                                     Crime|Drama|Mystery
